# Local planar approximation about anchor (-89.72070, 223.12570). Lunar radius 1737400 m. CAUTION: At extreme polar latitude -89.72S, cos(lat) ~ 0.00487 compresses longitudinal degree width to ~147.8 m/deg; planar approximation degrades near pole. For rigorous cartographic positioning, use Lunar Polar Stereographic (EPSG/IAU2000:30120). Valid only within this crop. Not geodetic coordinates.
match_id,src_x,src_y,ref_x,ref_y,residual_px,is_inlier,src_lat,src_lon,ref_lat,ref_lon,confidence
0,201.17,205.08,200.83,237.02,21.7862,0,-89.7113631,221.1849529,-89.7118541,221.0613288,0.0000
1,216.80,232.42,222.32,237.16,36.5522,0,-89.7122288,221.2864299,-89.7118586,221.2095910,0.0000
2,189.45,263.67,201.87,268.38,41.4813,0,-89.7132181,221.1088452,-89.7129088,221.0684855,0.0000
3,298.83,294.92,299.23,269.16,52.9426,0,-89.7142075,221.8191840,-89.7129353,221.7402709,0.0000
4,138.67,326.17,136.24,346.69,20.0967,0,-89.7151968,220.7790451,-89.7155431,220.6155934,0.0000
5,150.39,326.17,166.78,361.15,29.5086,0,-89.7151968,220.8551528,-89.7160294,220.8263047,0.0000
6,173.83,298.83,202.60,360.13,51.2896,0,-89.7143311,221.0073683,-89.7159953,221.0735082,0.0000
7,513.67,322.27,547.76,314.54,48.2491,0,-89.7150731,223.2144923,-89.7144618,223.4552576,0.0000
8,76.17,341.80,80.04,361.33,28.0299,0,-89.7156915,220.3731372,-89.7160353,220.2277850,0.0000
9,138.67,333.98,142.27,392.55,26.4834,0,-89.7154441,220.7790451,-89.7170856,220.6572214,0.0000
10,150.39,333.98,154.63,392.52,27.5270,0,-89.7154441,220.8551528,-89.7170847,220.7424776,0.0000
11,173.83,345.70,199.85,392.20,39.2058,0,-89.7158152,221.0073683,-89.7170737,221.0545269,0.0000
12,232.42,330.08,229.79,384.04,25.5487,0,-89.7153205,221.3879069,-89.7167995,221.2611101,0.0000
13,298.83,330.08,299.63,392.25,39.0992,0,-89.7153205,221.8191840,-89.7170755,221.7430281,0.0000
14,330.08,330.08,329.64,357.59,12.2649,1,-89.7153205,222.0221380,-89.7159096,221.9501618,0.1823
15,408.20,349.61,392.16,410.27,44.2178,0,-89.7159388,222.5295228,-89.7176816,222.3815364,0.0000
16,544.92,330.08,578.07,331.29,43.9709,0,-89.7153205,223.4174463,-89.7150249,223.6643879,0.0000
17,705.08,330.08,705.12,326.19,9.9212,1,-89.7153205,224.4575852,-89.7148536,224.5410926,0.3386
18,833.98,349.61,896.89,358.98,74.7188,0,-89.7159388,225.2947702,-89.7159566,225.8644293,0.0000
19,76.17,388.67,80.07,377.23,55.5807,0,-89.7171755,220.3731372,-89.7165703,220.2279733,0.0000
20,138.67,361.33,139.92,411.13,16.8016,0,-89.7163098,220.7790451,-89.7177105,220.6409963,0.0000
21,150.39,361.33,154.62,393.35,15.3678,0,-89.7163098,220.8551528,-89.7171127,220.7424466,0.0000
22,201.17,384.77,200.05,418.38,7.1742,1,-89.7170518,221.1849529,-89.7179545,221.0559091,0.5217
23,220.70,361.33,235.58,423.59,39.6184,0,-89.7163098,221.3117992,-89.7181298,221.3010662,0.0000
24,263.67,388.67,236.37,423.59,20.7816,0,-89.7171755,221.5908608,-89.7181298,221.3065632,0.0000
25,271.48,388.67,268.41,423.49,8.4662,1,-89.7171755,221.6415993,-89.7181262,221.5276319,0.4356
26,298.83,388.67,299.06,423.77,12.2418,1,-89.7171755,221.8191840,-89.7181357,221.7391017,0.1839
27,330.08,373.05,330.84,423.66,29.0730,0,-89.7166808,222.0221380,-89.7181322,221.9584019,0.0000
28,482.42,388.67,517.47,357.42,59.4455,0,-89.7171755,223.0115384,-89.7159040,223.2462554,0.0000
29,509.77,388.67,541.04,357.42,55.2092,0,-89.7171755,223.1891231,-89.7159040,223.4088659,0.0000
30,544.92,361.33,578.23,357.47,42.6919,0,-89.7163098,223.4174463,-89.7159058,223.6655254,0.0000
31,556.64,361.33,594.83,357.62,47.1654,0,-89.7163098,223.4935540,-89.7159108,223.7800931,0.0000
32,611.33,369.14,615.15,357.42,17.0521,0,-89.7165572,223.8487234,-89.7159040,223.9202523,0.0000
33,642.58,361.33,643.31,357.42,8.7679,1,-89.7163098,224.0516774,-89.7159040,224.1146264,0.4155
34,673.83,361.33,673.98,382.46,25.7911,0,-89.7163098,224.2546313,-89.7167464,224.3262559,0.0000
35,880.86,373.05,857.73,446.66,94.7124,0,-89.7166808,225.5992011,-89.7189056,225.5941820,0.0000
36,76.17,392.58,75.97,416.16,20.8067,0,-89.7172992,220.3731372,-89.7178800,220.1997060,0.0000
37,107.42,419.92,103.02,414.95,45.4727,0,-89.7181648,220.5760911,-89.7178390,220.3863536,0.0000
38,138.67,404.30,136.08,442.68,4.5457,1,-89.7176702,220.7790451,-89.7187719,220.6144627,0.6970
39,142.58,400.39,172.65,442.15,37.7034,0,-89.7175465,220.8044143,-89.7187540,220.8668752,0.0000
40,201.17,392.58,194.16,454.83,29.1789,0,-89.7172992,221.1849529,-89.7191807,221.0152806,0.0000
41,205.08,392.58,233.97,421.18,36.7839,0,-89.7172992,221.2103222,-89.7180485,221.2900028,0.0000
42,263.67,404.30,236.39,422.20,23.3241,0,-89.7176702,221.5908608,-89.7180831,221.3067029,0.0000
43,271.48,404.30,267.83,419.93,12.4017,1,-89.7176702,221.6415993,-89.7180066,221.5236514,0.1732
44,298.83,408.20,299.33,429.35,7.8360,1,-89.7177938,221.8191840,-89.7183234,221.7409814,0.4776
45,330.08,392.58,331.06,445.55,30.8589,0,-89.7172992,222.0221380,-89.7188684,221.9599575,0.0000
46,482.42,412.11,517.05,410.78,41.2538,0,-89.7179175,223.0115384,-89.7176988,223.2433767,0.0000
47,513.67,392.58,548.59,423.62,46.3905,0,-89.7172992,223.2144923,-89.7181307,223.4610083,0.0000
48,576.17,419.92,590.56,423.61,17.8374,0,-89.7181648,223.6204002,-89.7181303,223.7506071,0.0000
49,611.33,392.58,627.88,423.30,36.5371,0,-89.7172992,223.8487234,-89.7181199,224.0081343,0.0000
50,642.58,419.92,642.63,423.31,5.2061,1,-89.7181648,224.0516774,-89.7181204,224.1099283,0.6529
51,673.83,419.92,673.85,419.09,3.7375,1,-89.7181648,224.2546313,-89.7179783,224.3253121,0.7508
52,763.67,392.58,767.59,455.07,73.2461,0,-89.7172992,224.8381239,-89.7191887,224.9721604,0.0000
53,76.17,451.17,79.64,453.88,41.0038,0,-89.7191542,220.3731372,-89.7191486,220.2250193,0.0000
