# Local planar approximation about anchor (-89.72070, 223.12570). Lunar radius 1737400 m. CAUTION: At extreme polar latitude -89.72S, cos(lat) ~ 0.00487 compresses longitudinal degree width to ~147.8 m/deg; planar approximation degrades near pole. For rigorous cartographic positioning, use Lunar Polar Stereographic (EPSG/IAU2000:30120). Valid only within this crop. Not geodetic coordinates.
match_id,src_x,src_y,ref_x,ref_y,residual_px,is_inlier,src_lat,src_lon,ref_lat,ref_lon,confidence
0,595.81,532.68,140.10,493.58,823.2164,0,-89.7217345,223.7479461,-89.7204841,220.6422636,0.0000
1,608.28,832.00,334.92,392.98,765.3389,0,-89.7312107,223.8289429,-89.7171002,221.9865950,0.0000
2,693.93,167.05,199.72,603.16,692.8344,0,-89.7101593,224.3852103,-89.7241699,221.0536328,0.0000
3,750.74,866.28,123.11,423.00,927.8092,0,-89.7322960,224.7541295,-89.7181099,220.5249610,0.0000
4,508.44,410.04,374.89,556.48,567.2406,0,-89.7178519,223.1804877,-89.7225997,222.2624203,0.0000
5,814.03,471.78,542.75,585.91,444.8034,0,-89.7198067,225.1651766,-89.7235899,223.4206687,0.0000
6,363.58,737.37,39.96,467.69,927.4376,0,-89.7282150,222.2396980,-89.7196132,219.9512561,0.0000
7,387.42,147.66,504.75,595.15,396.9561,0,-89.7095454,222.3945656,-89.7239005,223.1584787,0.0000
8,410.55,125.64,635.63,561.94,332.3392,0,-89.7088483,222.5447592,-89.7227834,224.0615726,0.0000
9,118.52,680.54,743.70,493.31,447.6456,0,-89.7264158,220.6481752,-89.7204749,224.8073518,0.0000
10,85.11,468.78,410.92,709.76,428.7572,0,-89.7197115,220.4311735,-89.7277557,222.5110259,0.0000
11,751.24,443.48,118.77,848.73,760.3548,0,-89.7189106,224.7573926,-89.7324303,220.4950496,0.0000
12,778.65,183.64,429.25,628.96,480.4432,0,-89.7106843,224.9353693,-89.7250379,222.6375052,0.0000
13,657.87,542.38,428.71,517.37,575.6714,0,-89.7220418,224.1510027,-89.7212842,222.6337413,0.0000
14,885.69,211.34,327.48,502.31,642.2839,0,-89.7115614,225.6305571,-89.7207778,221.9352492,0.0000
15,90.48,599.32,570.40,990.22,237.2078,0,-89.7238443,220.4660720,-89.7371896,223.6114718,0.0000
16,395.01,439.75,200.62,522.87,727.2448,0,-89.7187924,222.4438594,-89.7214694,221.0598766,0.0000
17,355.76,145.61,775.37,324.09,525.9301,0,-89.7094804,222.1888981,-89.7147827,225.0258417,0.0000
18,857.93,310.04,135.57,720.35,759.0798,0,-89.7146862,225.4502682,-89.7281120,220.6110012,0.0000
19,267.98,804.62,526.03,524.93,521.0557,0,-89.7303439,221.6188427,-89.7215387,223.3053324,0.0000
20,907.78,261.06,933.81,651.79,184.2376,0,-89.7131355,225.7740250,-89.7258058,226.1191781,0.0000
21,824.87,889.38,99.38,376.51,981.8973,0,-89.7330271,225.2355652,-89.7165461,220.3612301,0.0000
22,488.53,250.38,395.06,567.79,522.3621,0,-89.7127974,223.0511779,-89.7229802,222.4015388,0.0000
23,264.71,323.24,761.94,924.73,63.3108,0,-89.7151039,221.5976067,-89.7349869,224.9332085,0.0000
24,653.87,237.91,156.41,456.18,796.8109,0,-89.7124025,224.1250040,-89.7192261,220.7548085,0.0000
25,32.98,309.64,805.80,501.55,391.1622,0,-89.7146734,220.0926271,-89.7207520,225.2358627,0.0000
26,738.30,31.26,395.45,543.68,528.1198,0,-89.7058602,224.6733744,-89.7221693,222.4042673,0.0000
27,542.62,613.48,586.92,802.11,291.5518,0,-89.7242927,223.4025129,-89.7308622,223.7254898,0.0000
28,856.80,747.58,734.18,811.63,198.5112,0,-89.7285379,225.4429504,-89.7311826,224.7416305,0.0000
29,570.58,683.17,437.22,806.04,444.1289,0,-89.7264991,223.5840770,-89.7309945,222.6924840,0.0000
30,516.32,386.81,728.21,725.87,186.0383,0,-89.7171165,223.2317058,-89.7282977,224.7004183,0.0000
31,482.93,13.29,72.83,627.16,768.4720,0,-89.7052914,223.0148616,-89.7249774,220.1780640,0.0000
32,490.84,329.05,774.93,835.96,68.3594,0,-89.7152881,223.0661816,-89.7320008,225.0228059,0.0000
33,697.71,60.83,880.71,812.60,32.9893,0,-89.7067963,224.4097361,-89.7312150,225.7527981,0.0000
34,703.90,193.88,137.04,666.54,739.2225,0,-89.7110088,224.4499320,-89.7263019,220.6210938,0.0000
35,715.17,376.44,991.25,910.05,132.0187,0,-89.7167881,224.5231219,-89.7344932,226.5155251,0.0000
36,486.00,659.17,267.72,426.47,762.1814,0,-89.7257390,223.0347525,-89.7182266,221.5228832,0.0000
37,163.53,506.01,80.20,797.79,731.5919,0,-89.7208904,220.9405126,-89.7307168,220.2288941,0.0000
38,263.13,533.17,96.03,536.72,811.8574,0,-89.7217502,221.5873434,-89.7219353,220.3381433,0.0000
39,525.73,787.95,310.93,563.24,666.0389,0,-89.7298162,223.2928116,-89.7228271,221.8210589,0.0000
40,755.26,175.08,822.20,830.97,40.7276,0,-89.7104134,224.7834924,-89.7318330,225.3490018,0.0000
41,837.02,190.18,484.44,881.24,394.4107,0,-89.7108916,225.3144924,-89.7335240,223.0183533,0.0000
42,977.68,948.80,775.87,514.13,437.5959,0,-89.7349085,226.2280159,-89.7211753,225.0292999,0.0000
43,962.62,963.66,240.89,900.53,699.3582,0,-89.7353790,226.1301707,-89.7341727,221.3377012,0.0000
44,355.76,703.33,127.07,354.91,913.7838,0,-89.7271371,222.1889187,-89.7158197,220.5523377,0.0000
45,54.10,542.40,767.69,688.72,233.9993,0,-89.7220424,220.2297710,-89.7270481,224.9728734,0.0000
46,308.89,357.06,525.47,774.36,307.1216,0,-89.7161746,221.8845019,-89.7299289,223.3014593,0.0000
47,284.65,731.49,448.01,660.11,472.3194,0,-89.7280287,221.7271226,-89.7260857,222.7669482,0.0000
48,336.29,960.70,492.30,495.56,589.7883,0,-89.7352851,222.0625119,-89.7205507,223.0725459,0.0000
49,170.18,542.28,919.62,725.63,220.1511,0,-89.7220386,220.9836738,-89.7282895,226.0212584,0.0000
50,344.03,68.41,288.87,633.80,551.3347,0,-89.7070363,222.1127254,-89.7252008,221.6687791,0.0000
51,772.01,739.17,168.93,928.29,731.6063,0,-89.7282718,224.8923019,-89.7351064,220.8411942,0.0000
52,772.63,30.59,432.05,538.76,502.1910,0,-89.7058389,224.8962983,-89.7220037,222.6568190,0.0000
53,129.59,966.29,815.89,892.31,82.8412,0,-89.7354620,220.7200930,-89.7338962,225.3054921,0.0000
54,910.36,350.03,227.04,793.19,669.4954,0,-89.7159522,225.7908218,-89.7305622,221.2421438,0.0000
55,800.29,309.54,176.43,486.09,786.8195,0,-89.7146704,225.0759363,-89.7202320,220.8929569,0.0000
56,493.72,288.85,434.48,912.69,403.4186,0,-89.7140151,223.0849259,-89.7345817,222.6736146,0.0000
57,833.80,829.84,64.18,827.85,854.1266,0,-89.7311423,225.2936044,-89.7317281,220.1183373,0.0000
58,924.58,440.86,554.26,482.24,509.0945,0,-89.7188277,225.8831523,-89.7201025,223.5001260,0.0000
59,555.75,309.11,893.75,726.69,141.1567,0,-89.7146568,223.4877381,-89.7283252,225.8427602,0.0000
60,288.83,340.99,560.79,706.01,303.6964,0,-89.7156660,221.7542711,-89.7276296,223.5451604,0.0000
61,87.14,351.62,272.92,762.55,526.8683,0,-89.7160025,220.4443839,-89.7295314,221.5587797,0.0000
62,378.63,407.24,64.57,568.36,824.0994,0,-89.7177634,222.3374271,-89.7229995,220.1210161,0.0000
63,755.89,889.99,914.33,931.08,9.1897,1,-89.7330467,224.7876054,-89.7352005,225.9847384,0.3874
64,675.33,497.19,437.92,595.99,517.0399,0,-89.7206109,224.2644159,-89.7239289,222.6973365,0.0000
65,312.88,185.04,960.50,435.03,450.3144,0,-89.7107286,221.9104760,-89.7185147,226.3033772,0.0000
