# Local planar approximation about anchor (-70.85000, 32.26000). Lunar radius 1737400 m. Valid only within this crop. Not geodetic coordinates.
match_id,src_x,src_y,ref_x,ref_y,residual_px,is_inlier,src_lat,src_lon,ref_lat,ref_lon,confidence
0,326.56,39.06,314.30,56.66,20.7430,0,-70.7938180,32.2251540,-70.0757479,31.6709025,0.0000
1,360.94,39.06,361.00,39.07,6.3650,1,-70.7938180,32.2414649,-70.0360935,31.9918862,0.5757
2,385.94,39.06,383.33,56.30,20.2934,0,-70.7938180,32.2533274,-70.0749483,32.1454033,0.0000
3,410.94,42.19,413.80,63.88,25.2872,0,-70.7943045,32.2651898,-70.0920480,32.3548917,0.0000
4,435.94,51.56,436.95,54.46,5.9065,1,-70.7957637,32.2770523,-70.0707901,32.5140157,0.6062
5,676.56,60.94,664.35,49.18,26.3396,0,-70.7972230,32.3912285,-70.0588806,34.0771869,0.0000
6,714.06,54.69,733.89,39.42,12.1736,1,-70.7962502,32.4090222,-70.0368728,34.5552008,0.1884
7,60.94,64.06,63.55,64.04,25.4880,0,-70.7977094,32.0991154,-70.0923944,29.9471454,0.0000
8,85.94,64.06,86.00,79.19,26.0985,0,-70.7977094,32.1109778,-70.1265534,30.1015180,0.0000
9,110.94,64.06,123.49,85.91,39.0945,0,-70.7977094,32.1228403,-70.1417289,30.3591836,0.0000
10,264.06,85.94,239.09,64.61,25.9217,0,-70.8011144,32.1954979,-70.0936834,31.1538671,0.0000
11,360.94,64.06,363.08,64.06,7.7440,1,-70.7977094,32.2414649,-70.0924419,32.0061924,0.4837
12,385.94,64.06,383.46,64.08,2.2075,1,-70.7977094,32.2533274,-70.0925008,32.1463322,0.8528
13,410.94,64.06,414.00,76.10,14.8511,0,-70.7977094,32.2651898,-70.1196012,32.3562249,0.0000
14,435.94,64.06,422.64,79.66,21.2728,0,-70.7977094,32.2770523,-70.1276157,32.4156189,0.0000
15,460.94,64.06,463.82,60.96,2.7827,1,-70.7977094,32.2889148,-70.0854626,32.6986987,0.8145
16,714.06,64.06,731.83,66.11,6.2660,1,-70.7977094,32.4090222,-70.0970584,34.5410911,0.5823
17,57.81,101.56,63.84,89.07,32.5843,0,-70.8035465,32.0976325,-70.1488550,29.9491445,0.0000
18,123.44,89.06,159.74,113.90,60.1028,0,-70.8016008,32.1287715,-70.2048443,30.6084058,0.0000
19,239.06,107.81,214.08,108.17,12.8013,1,-70.8045194,32.1836354,-70.1919146,30.9819489,0.1466
20,264.06,104.69,240.95,112.89,13.9485,1,-70.8040329,32.1954979,-70.2025645,31.1666629,0.0701
21,323.44,89.06,339.05,113.79,33.6330,0,-70.8016008,32.2236712,-70.2045871,31.8410231,0.0000
22,360.94,92.19,359.07,92.62,3.4402,1,-70.8020873,32.2414649,-70.1568590,31.9786249,0.7707
23,385.94,89.06,385.06,91.54,3.9514,1,-70.8016008,32.2533274,-70.1544168,32.1573156,0.7366
24,410.94,89.06,413.99,89.44,5.5116,1,-70.8016008,32.2651898,-70.1496727,32.3561668,0.6326
25,435.94,110.94,421.28,88.94,26.7182,0,-70.8050058,32.2770523,-70.1485454,32.4062502,0.0000
26,460.94,89.06,463.51,89.13,2.1895,1,-70.8016008,32.2889148,-70.1489775,32.6965876,0.8540
27,482.81,110.94,484.96,90.62,20.8924,0,-70.8050058,32.2992944,-70.1523414,32.8440503,0.0000
28,523.44,89.06,514.14,115.98,30.9132,0,-70.8016008,32.3185709,-70.2095165,33.0446158,0.0000
29,589.06,101.56,589.06,109.52,11.7251,1,-70.8035465,32.3497099,-70.1949660,33.5596528,0.2183
30,614.06,89.06,616.54,85.94,7.0606,1,-70.8016008,32.3615723,-70.1417864,33.7485664,0.5293
31,710.94,89.06,689.05,86.15,36.8667,0,-70.8016008,32.4075394,-70.1422645,34.2470023,0.0000
32,714.06,89.06,730.48,89.22,2.6122,1,-70.8016008,32.4090222,-70.1491864,34.5317872,0.8259
33,54.69,114.06,62.22,134.85,35.0694,0,-70.8054922,32.0961497,-70.2520894,29.9380090,0.0000
34,64.06,120.31,81.63,114.16,41.1106,0,-70.8064651,32.1005982,-70.2054138,30.0714321,0.0000
35,360.94,120.31,358.17,114.20,8.3278,1,-70.8064651,32.2414649,-70.2055087,31.9724246,0.4448
36,385.94,114.06,387.94,110.95,7.2571,1,-70.8054922,32.2533274,-70.1981798,32.1770683,0.5162
37,410.94,135.94,412.54,127.28,11.7315,1,-70.8088972,32.2651898,-70.2350180,32.3461681,0.2179
38,435.94,123.44,433.18,118.99,6.3550,1,-70.8069515,32.2770523,-70.2163211,32.4880944,0.5763
39,439.06,123.44,462.26,132.92,25.0608,0,-70.8069515,32.2785351,-70.2477163,32.6880056,0.0000
40,523.44,114.06,514.16,139.42,28.3006,0,-70.8054922,32.3185709,-70.2623843,33.0447325,0.0000
41,614.06,120.31,617.19,110.94,11.6162,1,-70.8064651,32.3615723,-70.1981569,33.7529979,0.2256
42,685.94,114.06,685.98,126.30,18.6640,0,-70.8054922,32.3956769,-70.2328023,34.2258653,0.0000
43,710.94,114.06,689.11,126.07,39.0661,0,-70.8054922,32.4075394,-70.2322855,34.2473967,0.0000
44,723.44,114.06,730.15,132.74,21.4568,0,-70.8054922,32.4134706,-70.2473167,34.5294834,0.0000
45,39.06,154.69,58.98,160.67,43.5039,0,-70.8118157,32.0887357,-70.3103025,29.9157876,0.0000
46,151.56,139.06,151.80,141.97,17.4406,0,-70.8093836,32.1421168,-70.2681387,30.5537935,0.0000
47,214.06,139.06,213.43,149.89,14.6548,0,-70.8093836,32.1717729,-70.2859882,30.9774856,0.0000
48,239.06,139.06,214.92,150.10,14.1114,1,-70.8093836,32.1836354,-70.2864643,30.9877062,0.0592
49,264.06,139.06,261.06,162.85,21.6233,0,-70.8093836,32.1954979,-70.3152309,31.3049033,0.0000
50,289.06,145.31,264.06,163.50,21.4347,0,-70.8103565,32.2073603,-70.3166916,31.3255406,0.0000
51,360.94,139.06,364.03,149.29,10.8906,1,-70.8093836,32.2414649,-70.2846507,32.0127417,0.2740
52,385.94,160.94,377.26,148.87,16.9746,0,-70.8127886,32.2533274,-70.2836922,32.1036680,0.0000
53,410.94,142.19,411.37,144.71,2.5503,1,-70.8098700,32.2651898,-70.2743190,32.3381883,0.8300
54,414.06,142.19,438.86,148.93,26.9979,0,-70.8098700,32.2666726,-70.2838330,32.5271219,0.0000
55,457.81,160.94,457.83,163.06,1.6720,1,-70.8127886,32.2874319,-70.3156852,32.6575544,0.8885
56,464.06,160.94,477.06,154.97,15.2573,1,-70.8127886,32.2903976,-70.2974587,32.7897281,0.0000
57,489.06,139.06,489.57,150.65,9.6140,1,-70.8093836,32.3022600,-70.2877141,32.8757541,0.3591
58,539.06,139.06,539.38,140.13,5.0615,1,-70.8093836,32.3259849,-70.2639780,33.2181176,0.6626
59,573.44,139.06,566.63,139.36,14.1810,0,-70.8093836,32.3422958,-70.2622553,33.4054411,0.0000
60,685.94,151.56,685.37,139.14,20.2064,0,-70.8113293,32.3956769,-70.2617559,34.2216701,0.0000
61,689.06,151.56,705.09,152.29,2.1439,1,-70.8113293,32.3971597,-70.2914017,34.3572261,0.8571
62,79.69,164.06,60.94,165.00,5.7521,1,-70.8132750,32.1080122,-70.3200609,29.9292433,0.6165
63,192.19,164.06,186.06,182.20,15.2768,1,-70.8132750,32.1613933,-70.3588553,30.7893257,0.0000
64,214.06,164.06,189.35,182.83,17.5880,0,-70.8132750,32.1717729,-70.3602807,30.8119781,0.0000
65,239.06,164.06,223.45,174.29,6.2596,1,-70.8132750,32.1836354,-70.3410159,31.0463904,0.5827
66,264.06,164.06,235.95,188.98,26.6009,0,-70.8132750,32.1954979,-70.3741504,31.1322598,0.0000
67,289.06,164.06,289.89,169.41,9.8676,1,-70.8132750,32.2073603,-70.3300239,31.5030857,0.3422
68,360.94,164.06,363.57,174.99,9.9291,1,-70.8132750,32.2414649,-70.3426019,32.0095485,0.3381
69,385.94,167.19,384.64,163.85,8.0509,1,-70.8137614,32.2533274,-70.3174735,32.1544152,0.4633
70,410.94,164.06,409.40,168.12,0.4283,1,-70.8132750,32.2651898,-70.3270950,32.3246430,0.9714
71,435.94,179.69,434.76,188.07,3.6170,1,-70.8157071,32.2770523,-70.3721010,32.4989526,0.7589
72,457.81,164.06,451.60,177.61,11.9807,1,-70.8132750,32.2874319,-70.3485118,32.6146857,0.2013
73,464.06,164.06,474.80,164.31,10.2393,1,-70.8132750,32.2903976,-70.3185061,32.7741663,0.3174
74,492.19,164.06,489.32,164.19,6.6032,1,-70.8132750,32.3037428,-70.3182515,32.8739924,0.5598
75,660.94,164.06,662.95,164.43,10.7504,1,-70.8132750,32.3838145,-70.3187799,34.0675650,0.2833
76,682.81,164.06,666.20,164.38,30.4943,0,-70.8132750,32.3941941,-70.3186814,34.0898864,0.0000
77,710.94,176.56,701.76,164.16,29.0891,0,-70.8152207,32.4075394,-70.3181665,34.3343357,0.0000
78,726.56,164.06,714.44,164.56,28.5166,0,-70.8132750,32.4149534,-70.3190664,34.4215018,0.0000
79,85.94,189.06,57.91,189.09,10.5432,1,-70.8171664,32.1109778,-70.3743853,29.9084386,0.2971
80,110.94,189.06,89.01,198.10,3.1813,1,-70.8171664,32.1228403,-70.3947178,30.1221664,0.7879
81,126.56,210.94,90.89,197.16,28.3941,0,-70.8205714,32.1302543,-70.3925968,30.1351475,0.0000
82,160.94,189.06,129.69,191.38,15.6923,0,-70.8171664,32.1465652,-70.3795584,30.4018265,0.0000
83,179.69,198.44,139.10,189.09,30.5240,0,-70.8186257,32.1554621,-70.3743864,30.4664935,0.0000
84,204.69,195.31,186.96,189.07,14.0151,0,-70.8181392,32.1673245,-70.3743443,30.7955508,0.0000
85,214.06,189.06,189.27,189.03,13.4228,1,-70.8171664,32.1717729,-70.3742609,30.8113860,0.1051
86,239.06,210.94,226.26,190.31,28.5291,0,-70.8205714,32.1836354,-70.3771539,31.0656835,0.0000
87,264.06,189.06,239.08,185.94,17.5114,0,-70.8171664,32.1954979,-70.3672859,31.1538317,0.0000
88,289.06,189.06,307.82,199.51,27.9380,0,-70.8171664,32.2073603,-70.3978809,31.6263364,0.0000
89,335.94,195.31,326.73,195.10,7.2835,1,-70.8181392,32.2296024,-70.3879358,31.7563057,0.5144
90,360.94,189.06,362.48,213.43,19.5316,0,-70.8171664,32.2414649,-70.4292751,32.0020660,0.0000
91,385.94,189.06,389.02,190.22,7.8007,1,-70.8171664,32.2533274,-70.3769365,32.1845238,0.4800
92,410.94,189.06,409.62,189.00,5.6352,1,-70.8171664,32.2651898,-70.3741850,32.3261455,0.6243
93,435.94,189.06,433.00,201.33,7.3413,1,-70.8171664,32.2770523,-70.4019889,32.4868235,0.5106
94,457.81,189.06,451.58,189.24,8.7732,1,-70.8171664,32.2874319,-70.3747255,32.6145433,0.4151
95,464.06,189.06,465.66,189.35,4.9439,1,-70.8171664,32.2903976,-70.3749769,32.7113293,0.6704
96,523.44,189.06,514.27,189.29,14.6350,0,-70.8171664,32.3185709,-70.3748477,33.0455213,0.0000
97,726.56,210.94,736.54,189.74,26.8948,0,-70.8205714,32.4149534,-70.3758648,34.5734285,0.0000
98,85.94,214.06,51.73,235.26,18.3437,0,-70.8210578,32.1109778,-70.4784984,29.8658970,0.0000
99,110.94,214.06,86.63,215.22,9.3269,1,-70.8210578,32.1228403,-70.4333122,30.1058312,0.3782
100,126.56,220.31,89.00,218.06,22.5420,0,-70.8220306,32.1302543,-70.4397290,30.1221045,0.0000
101,154.69,223.44,126.56,214.07,21.8716,0,-70.8225171,32.1435996,-70.4307233,30.3803501,0.0000
102,164.06,223.44,163.93,214.69,23.7954,0,-70.8225171,32.1480480,-70.4321311,30.6372059,0.0000
103,207.81,214.06,187.16,215.94,9.6352,1,-70.8210578,32.1688073,-70.4349493,30.7968902,0.3577
104,214.06,235.94,198.08,222.59,23.0405,0,-70.8244627,32.1717729,-70.4499282,30.8719787,0.0000
105,239.06,235.94,216.55,224.68,23.3582,0,-70.8244627,32.1836354,-70.4546451,30.9989537,0.0000
106,273.44,214.06,239.11,214.43,25.8100,0,-70.8210578,32.1999463,-70.4315353,31.1540287,0.0000
107,289.06,235.94,311.72,234.94,32.8031,0,-70.8244627,32.2073603,-70.4777897,31.6531216,0.0000
108,360.94,214.06,358.47,230.45,9.3182,1,-70.8210578,32.2414649,-70.4676697,31.9745081,0.3788
109,410.94,214.06,411.87,214.99,6.6010,1,-70.8210578,32.2651898,-70.4327914,32.3416040,0.5599
110,435.94,226.56,427.12,214.15,21.7935,0,-70.8230035,32.2770523,-70.4308965,32.4464397,0.0000
111,457.81,214.06,451.60,239.54,20.1306,0,-70.8210578,32.2874319,-70.4881597,32.6147329,0.0000
112,464.06,214.06,464.62,220.11,1.0733,1,-70.8210578,32.2903976,-70.4443406,32.7042097,0.9284
113,539.06,214.06,539.14,214.56,8.0679,1,-70.8210578,32.3259849,-70.4318278,33.2164825,0.4621
114,570.31,235.94,564.51,215.47,30.8743,0,-70.8244627,32.3408130,-70.4338698,33.3908863,0.0000
115,607.81,214.06,614.14,214.10,6.6934,1,-70.8210578,32.3586067,-70.4307932,33.7320283,0.5538
116,692.19,226.56,706.83,214.64,17.9042,0,-70.8230035,32.3986425,-70.4320098,34.3692157,0.0000
117,73.44,239.06,51.61,239.13,10.4959,1,-70.8249492,32.1050466,-70.4872411,29.8651151,0.3003
118,101.56,260.94,83.12,251.91,20.6777,0,-70.8283541,32.1183919,-70.5160554,30.0816860,0.0000
119,135.94,248.44,89.09,251.86,30.3457,0,-70.8264084,32.1347027,-70.5159378,30.1227606,0.0000
120,148.44,251.56,117.99,239.06,27.0834,0,-70.8268949,32.1406340,-70.4870815,30.3214107,0.0000
121,185.94,260.94,157.83,251.88,24.3836,0,-70.8283541,32.1584277,-70.5159878,30.5952422,0.0000
122,214.06,260.94,201.59,249.22,22.6597,0,-70.8283541,32.1717729,-70.5099796,30.8961024,0.0000
123,239.06,239.06,214.08,255.39,15.1365,1,-70.8249492,32.1836354,-70.5238973,30.9819751,0.0000
