# Stage O tie points: Chandrayaan-2 TMC-2 (source) to LROC NAC DTM orthophoto (reference), Pitiscus.
# tmc_scan/tmc_pixel: 0-based line/sample in ch2_tmc_ncn_20230130T1900132182_d_img_d32.img (via ISRO geometry CSV).
# nac_col/nac_row: 0-based pixel-centre index in NAC_DTM_PITISCUS_M1149280834_2M.TIF.
# map_x/map_y: metres, equirectangular Moon sphere R=1737400, std parallel -51, CM 180 (NAC CRS). lon/lat in degrees.
# Residuals in common-grid px (1 px = 4.72 m). heldout_residual_px: spatial-block 5-fold, model never saw the node.
# Reference error: lola_rms 0.92 m. These are relative residuals, not ground-truth errors.
id,tmc_scan,tmc_pixel,grid_src_x,grid_src_y,grid_ref_x,grid_ref_y,map_x,map_y,lon,lat,nac_col,nac_row,ncc_peak,ncc_second,fit_residual_px,is_inlier,spatial_fold,heldout_residual_px
0,245989.143,1101.420,320,32,399.4132,832.1431,-2839794.770,-1542871.046,31.18799562,-50.88062579,942.115,2767.023,0.5751,0.1545,2.3782,0,0,4.5802
1,245988.386,1053.379,368,32,449.1023,832.1190,-2839560.237,-1542870.932,31.20028568,-50.88062204,1059.381,2766.966,0.6506,0.2502,1.6497,0,0,3.6888
2,245987.628,1005.340,416,32,499.1610,832.0107,-2839323.960,-1542870.421,31.21266715,-50.88060518,1177.520,2766.710,0.7672,0.4627,1.3185,1,0,3.1967
3,245986.857,957.302,464,32,549.5985,832.1268,-2839085.895,-1542870.968,31.22514233,-50.88062325,1296.552,2766.984,0.7358,0.5218,1.3813,1,0,3.1147
4,245986.083,909.264,512,32,599.8811,831.9352,-2838848.561,-1542870.064,31.23757918,-50.88059343,1415.219,2766.532,0.7449,0.4224,1.3145,1,0,2.9007
5,245985.298,861.228,560,32,649.2534,831.8159,-2838615.524,-1542869.501,31.24979089,-50.88057485,1531.738,2766.250,0.7433,0.4758,0.3665,1,0,1.8080
6,245984.510,813.192,608,32,699.8418,831.8797,-2838376.747,-1542869.802,31.26230339,-50.88058478,1651.127,2766.401,0.6983,0.4350,0.6536,1,0,1.9678
7,245983.711,765.160,656,32,750.0767,831.3315,-2838139.638,-1542867.215,31.27472845,-50.88049945,1769.681,2765.107,0.8189,0.6263,0.7004,1,0,1.8096
8,245982.907,717.125,704,32,799.1853,831.1859,-2837907.845,-1542866.528,31.28687494,-50.88047679,1885.577,2764.764,0.8336,0.6385,0.6811,1,0,0.6106
9,245982.095,669.096,752,32,851.0003,831.6270,-2837663.279,-1542868.609,31.29969081,-50.88054545,2007.861,2765.805,0.7072,0.5992,1.0419,1,0,1.9959
10,245981.276,621.064,800,32,900.6696,831.1407,-2837428.839,-1542866.314,31.31197599,-50.88046975,2125.080,2764.657,0.6170,0.5088,0.5473,1,0,1.3409
11,245980.449,573.038,848,32,950.8985,831.1102,-2837191.759,-1542866.170,31.32439956,-50.88046501,2243.620,2764.585,0.5572,0.3699,0.5545,1,0,1.2707
12,245979.616,525.008,896,32,1000.8845,831.0707,-2836955.825,-1542865.984,31.33676307,-50.88045886,2361.588,2764.492,0.6965,0.4080,0.3606,1,0,0.9911
13,245978.776,476.986,944,32,1050.8653,831.0628,-2836719.916,-1542865.947,31.34912527,-50.88045764,2479.542,2764.473,0.6851,0.4329,0.1843,1,0,0.7455
14,245977.927,428.958,992,32,1101.3355,830.9160,-2836481.696,-1542865.253,31.36160854,-50.88043478,2598.652,2764.127,0.6742,0.3492,0.5326,1,0,1.0052
15,245977.073,380.939,1040,32,1151.1576,830.8968,-2836246.536,-1542865.163,31.37393151,-50.88043179,2716.232,2764.081,0.6779,0.3473,0.2680,1,0,0.6740
16,245976.210,332.914,1088,32,1201.3439,830.7113,-2836009.657,-1542864.287,31.38634454,-50.88040291,2834.672,2763.644,0.6756,0.4156,0.3650,1,0,0.6972
17,245944.953,1150.301,272,80,349.4051,880.2702,-2840030.808,-1543098.205,31.17562665,-50.88811704,824.096,2880.603,0.6150,0.2631,2.6567,0,0,4.9597
18,245944.209,1102.275,320,80,399.1229,880.2295,-2839796.140,-1543098.013,31.18792381,-50.88811071,941.430,2880.507,0.6530,0.2675,1.9465,0,0,4.0821
19,245943.453,1054.236,368,80,449.2370,880.0831,-2839559.601,-1543097.322,31.20031899,-50.88808791,1059.699,2880.161,0.6314,0.2167,1.6607,0,0,3.6306
