# Stage P tie points: ch2_ohr_ncp_20211023T0027462822_d_img_d18 (source) to NAC_DTM_VIKRAMSITE1_M1442997156_100CM.TIF (reference), Chandrayaan-3 landing site.
# src_line/src_sample: 0-based position in the full-resolution source .img.
# ref_x/ref_y: reference CRS (polar stereographic, lat_ts -69.3, lon_0 32.3, R 1737400 m); ref_col/ref_row: 0-based pixel centre in the reference GeoTIFF.
# isro_geo_dx/dy_m: reference position minus the position the ISRO geometry CSV assigns to the same source pixel.
# Residuals in fine source-frame px (1 px = 1.134 m on the ground). heldout_residual_px: stripes scheme, model never saw the node.
# Reference error: lola_rms 1.85 m. Residuals are relative to the reference, not ground-truth errors.
id,src_line,src_sample,ref_x,ref_y,lon,lat,ref_col,ref_row,isro_geo_dx_m,isro_geo_dy_m,ncc_peak,ncc_second,fit_residual_px,is_inlier,heldout_fold,heldout_residual_px
0,25353.50,2817.50,1466.724,605472.095,32.43879571,-69.58549753,12511.224,32787.405,488.79,-3686.95,0.8285,0.7150,1.1263,1,0,8.2985
1,25353.50,3201.50,1355.098,605481.560,32.42823065,-69.58519369,12399.598,32777.940,485.19,-3686.09,0.8063,0.4964,0.2617,1,0,6.0421
2,25353.50,3585.50,1243.964,605491.519,32.41771227,-69.58487284,12288.464,32767.981,482.14,-3684.75,0.8281,0.4490,0.3306,1,0,4.7081
3,25353.50,3969.50,1135.649,605500.642,32.40746121,-69.58457873,12180.149,32758.858,481.97,-3684.25,0.7937,0.3006,0.6136,1,0,3.8186
4,25353.50,4353.50,1029.626,605508.156,32.39742757,-69.58433699,12074.126,32751.344,484.17,-3685.37,0.8606,0.7221,0.6312,1,0,3.8915
5,25353.50,4737.50,923.383,605516.845,32.38737312,-69.58405584,11967.883,32742.655,486.21,-3685.31,0.8025,0.2838,0.5331,1,0,3.5859
6,25353.50,5121.50,816.143,605525.023,32.37722475,-69.58379098,11860.643,32734.477,487.31,-3685.77,0.8323,0.2971,0.1307,1,0,4.3132
7,25353.50,5505.50,708.079,605534.247,32.36699854,-69.58349102,11752.579,32725.253,487.66,-3685.19,0.7680,0.3377,0.4764,1,0,4.5374
8,25353.50,5889.50,595.478,605544.237,32.35634334,-69.58316527,11639.978,32715.263,483.54,-3683.84,0.8644,0.7389,0.4572,1,0,5.3052
9,25353.50,6273.50,487.069,605553.520,32.34608509,-69.58286206,11531.569,32705.980,483.67,-3683.21,0.6886,0.3839,0.5559,1,0,5.1749
10,25353.50,6657.50,380.239,605560.981,32.33597672,-69.58261832,11424.739,32698.519,485.46,-3684.40,0.7300,0.4539,0.1538,1,0,6.2488
11,25353.50,7041.50,271.062,605569.831,32.32564645,-69.58232813,11315.562,32689.669,484.96,-3684.21,0.7595,0.4500,0.4705,1,0,6.8398
12,25353.50,7425.50,161.714,605579.079,32.31530031,-69.58202419,11206.214,32680.421,484.35,-3683.63,0.7000,0.3826,0.2232,1,0,7.0187
13,25353.50,7809.50,50.505,605588.673,32.30477838,-69.58170814,11095.005,32670.827,481.95,-3682.70,0.6756,0.3590,0.3181,1,0,7.5242
14,25353.50,8193.50,-60.688,605598.163,32.29425829,-69.58139488,10983.812,32661.337,479.63,-3681.88,0.7656,0.5543,0.1193,1,0,8.1608
15,25353.50,8577.50,-170.910,605607.347,32.28383038,-69.58109105,10873.590,32652.153,478.35,-3681.38,0.7051,0.4616,0.8448,1,0,9.1685
16,25353.50,8961.50,-279.665,605616.203,32.27354160,-69.58079739,10764.835,32643.297,478.60,-3681.20,0.7602,0.4654,0.1978,1,0,9.6249
17,25353.50,9345.50,-390.131,605624.836,32.26309126,-69.58051043,10654.369,32634.664,477.21,-3681.26,0.7592,0.5536,1.5461,0,0,12.0162
18,25353.50,10113.50,-601.770,605640.602,32.24307040,-69.57998433,10442.730,32618.898,483.92,-3682.88,0.7369,0.5477,0.7337,1,0,14.0772
19,25353.50,10497.50,-707.213,605648.152,32.23309601,-69.57973134,10337.287,32611.348,487.75,-3684.03,0.8233,0.4949,0.4059,1,0,15.1142
20,25353.50,10881.50,-815.198,605655.565,32.22288127,-69.57948218,10229.302,32603.935,489.11,-3685.32,0.7938,0.5827,0.4064,1,0,18.0914
21,25353.50,11265.50,-921.545,605663.558,32.21282187,-69.57921332,10122.955,32595.942,492.17,-3686.04,0.8012,0.5681,0.1256,1,0,19.8618
22,25353.50,11649.50,-1031.704,605672.379,32.20240232,-69.57891632,10012.796,32587.121,491.49,-3685.93,0.8704,0.6570,0.3818,1,0,23.2195
23,25737.50,2817.50,1471.549,605574.588,32.43922873,-69.58211412,12516.049,32684.912,487.79,-3687.93,0.8159,0.3110,0.4474,1,0,5.4134
24,25737.50,3201.50,1360.779,605584.624,32.42874626,-69.58179139,12405.279,32674.876,485.04,-3686.51,0.8377,0.6127,0.2315,1,0,3.9102
25,25737.50,3585.50,1249.714,605595.103,32.41823617,-69.58145342,12294.214,32664.397,482.06,-3684.65,0.8451,0.6470,0.1881,1,0,2.8174
26,25737.50,3969.50,1139.592,605604.483,32.40781579,-69.58115099,12184.092,32655.017,480.09,-3683.89,0.8657,0.5458,0.1045,1,0,2.4492
27,25737.50,4353.50,1033.144,605612.581,32.39774354,-69.58089000,12077.644,32646.919,481.86,-3684.42,0.7047,0.2809,0.3465,1,0,2.4121
28,25737.50,4737.50,927.567,605620.875,32.38775396,-69.58062187,11972.067,32638.625,484.56,-3684.76,0.7680,0.3244,0.3077,1,0,2.4372
29,25737.50,5121.50,820.886,605628.654,32.37766029,-69.58037018,11865.386,32630.846,486.23,-3685.62,0.7707,0.2559,0.3683,1,0,3.2224
30,25737.50,5505.50,715.022,605636.975,32.36764403,-69.58009997,11759.522,32622.525,488.78,-3685.94,0.7318,0.4734,0.5194,1,0,3.2292
31,25737.50,5889.50,607.248,605645.515,32.35744740,-69.57982199,11651.748,32613.985,489.48,-3686.04,0.6978,0.4608,0.1823,1,0,3.7561
32,25737.50,6273.50,498.188,605654.677,32.34712923,-69.57952283,11542.688,32604.823,488.97,-3685.53,0.7230,0.4815,0.7094,1,0,3.8259
33,25737.50,6657.50,391.149,605663.052,32.33700271,-69.57924901,11435.649,32596.448,490.54,-3685.81,0.7403,0.3507,0.3008,1,0,4.1171
34,25737.50,7041.50,282.269,605671.629,32.32670229,-69.57896791,11326.769,32587.871,490.34,-3685.89,0.7597,0.3553,0.2342,1,0,4.7038
35,25737.50,7425.50,173.178,605680.322,32.31638223,-69.57868233,11217.678,32579.178,489.99,-3685.86,0.7077,0.4106,0.5178,1,0,5.2549
36,25737.50,7809.50,61.912,605690.399,32.30585661,-69.57835043,11106.412,32569.101,487.53,-3684.45,0.8235,0.5690,0.3393,1,0,5.1732
37,25737.50,8193.50,-49.354,605699.308,32.29533138,-69.57805641,10995.146,32560.192,485.14,-3684.22,0.7176,0.4005,0.8134,1,0,6.3083
38,25737.50,8577.50,-158.739,605708.826,32.28498440,-69.57774161,10885.761,32550.674,484.70,-3683.38,0.7915,0.5156,0.3193,1,0,6.1049
39,25737.50,8961.50,-268.669,605717.780,32.27458622,-69.57744480,10775.831,32541.720,483.78,-3683.10,0.7364,0.4505,0.0836,1,0,6.8543
40,25737.50,9345.50,-377.548,605726.409,32.26428766,-69.57715809,10666.952,32533.091,483.97,-3683.16,0.7955,0.5177,0.2141,1,0,7.7335
41,25737.50,9729.50,-485.066,605734.085,32.25411812,-69.57690219,10559.434,32525.415,485.60,-3684.18,0.8561,0.6807,0.6904,1,0,9.1613
