# Stage P tie points: ch2_tmc_ncn_20230130T1900132182_d_img_d32 (source) to NAC_DTM_VIKRAMSITE1_M1442997156_3M.TIF (reference), Chandrayaan-3 landing site.
# src_line/src_sample: 0-based position in the full-resolution source .img.
# ref_x/ref_y: reference CRS (polar stereographic, lat_ts -69.3, lon_0 32.3, R 1737400 m); ref_col/ref_row: 0-based pixel centre in the reference GeoTIFF.
# isro_geo_dx/dy_m: reference position minus the position the ISRO geometry CSV assigns to the same source pixel.
# Residuals in fine source-frame px (1 px = 4.879 m on the ground). heldout_residual_px: stripes scheme, model never saw the node.
# Reference error: lola_rms 1.85 m. Residuals are relative to the reference, not ground-truth errors.
id,src_line,src_sample,ref_x,ref_y,lon,lat,ref_col,ref_row,isro_geo_dx_m,isro_geo_dy_m,ncc_peak,ncc_second,fit_residual_px,is_inlier,heldout_fold,heldout_residual_px
0,131432.00,1328.00,-3063.528,595432.090,32.00521293,-69.91686504,2660.324,14276.137,39.01,-3759.66,0.5166,0.4148,0.4874,1,0,1.3544
1,131480.00,1424.00,-3537.951,595657.498,31.95969157,-69.90933046,2502.183,14201.001,40.56,-3759.58,0.5612,0.4888,0.0595,1,0,0.8369
2,131960.00,896.00,-1066.244,598153.889,32.19786703,-69.82717331,3326.085,13368.870,22.93,-3763.59,0.5018,0.4353,0.3123,1,1,0.0686
3,131960.00,2048.00,-6637.878,597962.232,31.66399532,-69.83231872,1468.874,13432.756,65.41,-3760.94,0.5836,0.4791,0.1387,1,1,2.1274
4,132008.00,2048.00,-6646.331,598202.723,31.66344144,-69.82437201,1466.056,13352.592,64.89,-3762.64,0.5330,0.4766,0.0697,1,1,2.0410
5,132200.00,1424.00,-3663.015,599271.158,31.94978680,-69.78993075,2460.495,12996.447,42.20,-3762.02,0.5232,0.4044,0.9637,1,1,0.6689
6,132488.00,1136.00,-2338.697,600767.930,32.07695749,-69.74071734,2901.934,12497.523,12.75,-3761.33,0.5129,0.4536,4.8622,0,2,4.8710
7,132872.00,1472.00,-4015.798,602637.954,31.91820383,-69.67867661,2342.901,11874.182,41.70,-3763.10,0.5239,0.4532,1.9022,0,2,1.8923
8,133400.00,416.00,1006.380,605468.046,32.39523418,-69.58566222,4016.960,10930.818,6.64,-3762.22,0.5479,0.3959,0.5360,1,3,0.9581
9,133496.00,704.00,-401.207,605902.940,32.26206078,-69.57133088,3547.764,10785.853,18.70,-3764.40,0.5831,0.5097,0.4223,1,4,0.3860
10,133544.00,1184.00,-2729.169,606062.815,32.04199241,-69.56585564,2771.777,10732.562,39.70,-3764.82,0.6230,0.5140,0.2329,1,4,0.5153
11,133592.00,1184.00,-2735.924,606303.780,32.04145658,-69.55790160,2769.525,10652.240,41.78,-3764.26,0.5465,0.4801,0.5863,1,4,0.8608
12,133688.00,1232.00,-2987.119,606780.129,32.01794074,-69.54214125,2685.794,10493.457,41.26,-3762.47,0.6061,0.5131,0.4151,1,4,0.6500
13,133784.00,656.00,-217.700,607357.261,32.27946298,-69.52333598,3608.933,10301.080,19.12,-3763.34,0.5618,0.4374,0.2041,1,4,0.2019
14,133784.00,800.00,-913.632,607333.184,32.21380807,-69.52410914,3376.956,10309.105,25.36,-3763.39,0.6600,0.5788,0.0806,1,4,0.2234
15,133832.00,656.00,-223.080,607597.696,32.27896383,-69.51540133,3607.140,10220.935,22.06,-3764.52,0.6047,0.4927,0.4507,1,4,0.6015
16,133832.00,848.00,-1156.792,607567.072,32.19091041,-69.51637695,3295.903,10231.143,24.57,-3763.09,0.5670,0.4955,0.6089,1,4,0.5181
17,133880.00,656.00,-231.224,607839.424,32.27820452,-69.50742421,3604.425,10140.359,22.18,-3764.86,0.5011,0.3936,0.4309,1,4,0.6013
18,133880.00,704.00,-465.853,607831.145,32.25608742,-69.50769298,3526.216,10143.118,21.63,-3765.14,0.5766,0.4611,0.0792,1,4,0.1668
19,133880.00,752.00,-697.193,607823.424,32.23427990,-69.50794048,3449.102,10145.692,24.35,-3764.85,0.5375,0.4389,0.1180,1,4,0.3506
20,134120.00,848.00,-1203.980,609013.381,32.18673008,-69.46864868,3280.173,9749.040,26.86,-3764.38,0.5167,0.4243,0.2181,1,0,0.2934
21,134168.00,1040.00,-2145.642,609221.827,32.09820858,-69.46168558,2966.286,9679.558,29.91,-3764.99,0.5519,0.4242,0.9469,1,0,1.1375
22,134216.00,656.00,-291.418,609528.546,32.27260670,-69.45168794,3584.361,9577.318,20.09,-3763.64,0.5386,0.4749,0.4049,1,0,0.4503
23,134264.00,944.00,-1701.378,609723.698,32.14012177,-69.44517320,3114.374,9512.267,22.89,-3761.34,0.5463,0.3074,1.9797,0,0,2.1021
24,134360.00,896.00,-1477.471,610211.820,32.16127325,-69.42908827,3189.010,9349.560,29.28,-3763.90,0.5097,0.4301,0.1381,1,0,0.2107
25,134408.00,992.00,-1947.448,610435.392,32.11721217,-69.42166892,3032.351,9275.036,35.70,-3765.59,0.5518,0.4822,0.6564,1,0,0.5726
26,134408.00,1040.00,-2181.202,610426.736,32.09526924,-69.42192841,2954.433,9277.921,36.00,-3766.19,0.5347,0.4632,0.5096,1,0,0.5280
27,134408.00,1280.00,-3346.578,610387.326,31.98586693,-69.42305448,2565.974,9291.058,40.83,-3765.26,0.5348,0.3992,0.0921,1,0,0.5963
28,134504.00,848.00,-1266.763,610942.012,32.18119975,-69.40501479,3259.246,9106.163,31.28,-3764.16,0.5322,0.4449,0.6257,1,1,0.6260
29,134648.00,416.00,798.477,611737.463,32.37478587,-69.37880095,3947.659,8841.012,13.77,-3767.03,0.5207,0.4065,0.5714,1,1,0.8122
30,134696.00,224.00,1717.606,612011.211,32.46079984,-69.36970889,4254.035,8749.763,4.61,-3766.26,0.5358,0.4394,0.1880,1,1,0.7508
31,135032.00,992.00,-2059.632,613571.760,32.10767074,-69.31820355,2994.956,8229.580,32.57,-3767.33,0.5769,0.5037,0.3215,1,2,0.4190
32,135176.00,512.00,241.091,614376.404,32.32248378,-69.29178011,3761.864,7961.365,18.09,-3766.13,0.5215,0.3993,0.2422,1,2,0.2580
33,135704.00,656.00,-557.369,617007.854,32.24824238,-69.20500800,3495.710,7084.215,14.00,-3768.30,0.5052,0.3535,1.0445,1,3,1.2186
34,136712.00,224.00,1357.843,622150.681,32.42504774,-69.03546553,4134.114,5369.940,-2.55,-3771.35,0.5892,0.5239,0.5245,1,0,0.7048
35,136760.00,128.00,1818.800,622409.822,32.46742873,-69.02688823,4287.767,5283.559,-1.29,-3769.13,0.5277,0.4596,0.3560,1,0,1.6902
36,136760.00,224.00,1351.355,622393.099,32.42440176,-69.02747848,4131.952,5289.134,-0.18,-3769.91,0.5471,0.4357,0.0778,1,0,1.2433
37,136808.00,128.00,1809.769,622649.926,32.46653310,-69.01897804,4284.756,5203.525,-1.59,-3770.14,0.5049,0.3947,0.3444,1,0,1.6892
